Date,et
1978-09-01,3.1194849315311486e-05
1978-10-01,2.2401136454342276e-05
1978-11-01,1.5339362605541364e-05
1978-12-01,1.591473660112459e-05
1979-01-01,1.6783833047307363e-05
1979-02-01,2.1050622106481482e-05
1979-03-01,3.185616895930892e-05
1979-04-01,3.4083644192564206e-05
1979-05-01,3.420219463956293e-05
1979-06-01,3.537395567262665e-05
1979-07-01,4.149025737902654e-05
1979-08-01,3.6118513197105155e-05
1979-09-01,3.3851744869270605e-05
1979-10-01,2.5745661052575562e-05
1979-11-01,1.690503300384916e-05
1979-12-01,1.7483319974368526e-05
1980-01-01,1.825528044957074e-05
1980-02-01,2.263057534456152e-05
1980-03-01,3.321455827834539e-05
1980-04-01,3.2871458322247055e-05
1980-05-01,3.354838739002412e-05
1980-06-01,3.3520918198790266e-05
1980-07-01,3.833359907141336e-05
1980-08-01,3.837700029711224e-05
1980-09-01,3.0928663294220946e-05
1980-10-01,2.3438850419504753e-05
1980-11-01,1.7274208162604654e-05
1980-12-01,1.6351935719543776e-05
1981-01-01,2.003411547023556e-05
1981-02-01,2.1376089448524193e-05
1981-03-01,3.297724441695047e-05
1981-04-01,3.704545008070811e-05
1981-05-01,3.3739966308801615e-05
1981-06-01,4.015419809626437e-05
1981-07-01,4.343710438617497e-05
1981-08-01,3.8373141939832555e-05
1981-09-01,3.124940045409394e-05
1981-10-01,2.6897551429242942e-05
1981-11-01,1.6607978018128285e-05
1981-12-01,1.4902022247942386e-05
1982-01-01,1.8843395460834397e-05
1982-02-01,2.0665553493507876e-05
1982-03-01,3.164389728120122e-05
1982-04-01,3.641254861332836e-05
1982-05-01,3.547035861891585e-05
1982-06-01,3.604511649460764e-05
1982-07-01,4.054028182426919e-05
1982-08-01,3.617556783915141e-05
1982-09-01,3.1706641678196395e-05
1982-10-01,2.5129372982297428e-05
1982-11-01,1.7689087444125162e-05
1982-12-01,1.5374313482244217e-05
1983-01-01,1.772777317697247e-05
1983-02-01,2.0523652518358878e-05
1983-03-01,3.359787193353554e-05
1983-04-01,3.925898043937136e-05
1983-05-01,3.498296260820208e-05
1983-06-01,3.6538345106960405e-05
1983-07-01,4.227463359851709e-05
1983-08-01,3.927828458696964e-05
1983-09-01,3.321821841297716e-05
1983-10-01,2.7028598273201365e-05
1983-11-01,1.79561252793742e-05
1983-12-01,1.5196254999911308e-05
1984-01-01,1.8928732361731947e-05
1984-02-01,2.142084774549454e-05
1984-03-01,3.202315989960267e-05
1984-04-01,3.595532363062296e-05
1984-05-01,3.318482016948701e-05
1984-06-01,3.836153460692494e-05
1984-07-01,4.1271117252909034e-05
1984-08-01,3.851248980062439e-05
1984-09-01,3.225408008283667e-05
1984-10-01,2.5268930595466154e-05
1984-11-01,1.690988114401518e-05
1984-12-01,1.6466733239765147e-05
1985-01-01,1.9577897287852986e-05
1985-02-01,2.1516976361838372e-05
1985-03-01,3.197097701149425e-05
1985-04-01,3.6554101368490136e-05
1985-05-01,3.38884915012594e-05
1985-06-01,3.610178450271392e-05
1985-07-01,3.9677013656077056e-05
1985-08-01,3.5118529549364975e-05
1985-09-01,2.996485345049312e-05
1985-10-01,2.3480019312296014e-05
1985-11-01,1.6928657085905348e-05
1985-12-01,1.585315731649993e-05
1986-01-01,1.9412577271356605e-05
1986-02-01,2.2374389977561375e-05
1986-03-01,3.2267568757095214e-05
1986-04-01,3.39289433890308e-05
1986-05-01,3.289079739162055e-05
1986-06-01,3.5588859676546765e-05
1986-07-01,3.848625417952674e-05
1986-08-01,3.686985796260821e-05
1986-09-01,3.0348628461135937e-05
1986-10-01,2.6395461721299846e-05
1986-11-01,1.685160507130694e-05
1986-12-01,1.7495746694071948e-05
1987-01-01,1.9271393134933308e-05
1987-02-01,2.1291704360011353e-05
1987-03-01,3.2600227545852846e-05
1987-04-01,3.7205720907389666e-05
1987-05-01,3.670215827657158e-05
1987-06-01,3.664227208829999e-05
1987-07-01,4.120907982785229e-05
1987-08-01,4.0559123674081165e-05
1987-09-01,3.055592456231375e-05
1987-10-01,2.2563162017081734e-05
1987-11-01,1.803531162418405e-05
1987-12-01,1.6794321885642827e-05
1988-01-01,1.8276943646232442e-05
1988-02-01,2.2564276797750816e-05
1988-03-01,3.3127964636990915e-05
1988-04-01,3.558066968878601e-05
1988-05-01,3.4504979845146874e-05
1988-06-01,3.796363844987229e-05
1988-07-01,4.241287421730878e-05
1988-08-01,3.8568147737955876e-05
1988-09-01,3.190073773635944e-05
1988-10-01,2.3078279487281824e-05
1988-11-01,1.6473518762416633e-05
1988-12-01,1.7122247665229887e-05
1989-01-01,1.862298323976515e-05
1989-02-01,2.2451805067759333e-05
1989-03-01,3.301408966138073e-05
1989-04-01,3.651738683127572e-05
1989-05-01,3.7525594501649634e-05
1989-06-01,3.833989496860366e-05
1989-07-01,3.997839849847452e-05
1989-08-01,3.912436863647651e-05
1989-09-01,3.0368481102330783e-05
1989-10-01,2.4982268385483185e-05
1989-11-01,1.7308896848836387e-05
1989-12-01,1.7744511793582376e-05
1990-01-01,2.04828418786363e-05
1990-02-01,2.1942559888072934e-05
1990-03-01,3.486843980594579e-05
1990-04-01,3.9284857585674754e-05
1990-05-01,3.4556079105026965e-05
1990-06-01,3.504462775604867e-05
1990-07-01,4.1176414775347654e-05
1990-08-01,3.730486305120973e-05
1990-09-01,3.1374859592291046e-05
1990-10-01,2.386088944098553e-05
1990-11-01,1.6536509829093943e-05
1990-12-01,1.6672393505214987e-05
1991-01-01,1.919831083927558e-05
1991-02-01,2.270133805830495e-05
1991-03-01,3.394947273662552e-05
1991-04-01,3.599943748226195e-05
1991-05-01,3.497416437180715e-05
1991-06-01,3.8819696435539936e-05
1991-07-01,4.1114244481250884e-05
1991-08-01,3.736745512274727e-05
1991-09-01,2.932902509489854e-05
1991-10-01,2.3837176280686817e-05
1991-11-01,1.5106485195384562e-05
1991-12-01,1.5355394139350075e-05
1992-01-01,1.7798972967220096e-05
1992-02-01,2.144723258789201e-05
1992-03-01,3.189614846078118e-05
1992-04-01,3.653392090605931e-05
1992-05-01,3.778667385057471e-05
1992-06-01,3.998405421855045e-05
1992-07-01,4.130391556247339e-05
1992-08-01,3.879167897243508e-05
1992-09-01,3.2150170118933584e-05
1992-10-01,2.427309077666028e-05
1992-11-01,1.534280888587342e-05
1992-12-01,1.5625069067510998e-05
1993-01-01,1.8508046753050944e-05
1993-02-01,1.980660409571449e-05
1993-03-01,3.210381473277636e-05
1993-04-01,3.542004288172271e-05
1993-05-01,3.5472986565648506e-05
1993-06-01,3.808602602392863e-05
1993-07-01,4.1834558644192564e-05
1993-08-01,4.074095198976515e-05
1993-09-01,3.098927923673194e-05
1993-10-01,2.4069669551316167e-05
1993-11-01,1.6775039134560804e-05
1993-12-01,1.5144501982226476e-05
1994-01-01,1.6875497773875406e-05
1994-02-01,2.176023762327941e-05
1994-03-01,3.079276321040868e-05
1994-04-01,3.292141231419398e-05
1994-05-01,3.281402702391088e-05
1994-06-01,3.5337819672821775e-05
1994-07-01,3.712884566349155e-05
1994-08-01,3.637984653265575e-05
1994-09-01,3.0943734202054064e-05
1994-10-01,2.613224909535973e-05
1994-11-01,1.7219156422945935e-05
1994-12-01,1.6323330739144316e-05
1995-01-01,1.851134785857457e-05
1995-02-01,2.054999107554633e-05
1995-03-01,3.067108449295799e-05
1995-04-01,3.70444302540088e-05
1995-05-01,3.38613209189194e-05
1995-06-01,3.7566534684528883e-05
1995-07-01,3.981085651474032e-05
1995-08-01,3.7220353685522214e-05
1995-09-01,3.154627251623031e-05
1995-10-01,2.517506696111821e-05
1995-11-01,1.8759338082694762e-05
1995-12-01,1.6091297382751527e-05
1996-01-01,1.7738703082872147e-05
1996-02-01,2.255617089940755e-05
1996-03-01,3.2769871765024125e-05
1996-04-01,3.5407656183482335e-05
1996-05-01,3.6312675495778346e-05
1996-06-01,3.847813131917838e-05
1996-07-01,4.148085870982333e-05
1996-08-01,3.782865026784447e-05
1996-09-01,2.9625848266549594e-05
1996-10-01,2.273266738062296e-05
1996-11-01,1.5816395440879097e-05
1996-12-01,1.5713985616663118e-05
1997-01-01,1.8169464067156236e-05
1997-02-01,2.193214477348517e-05
1997-03-01,3.5115722004931175e-05
1997-04-01,3.6606202661593583e-05
1997-05-01,3.554947772545054e-05
1997-06-01,3.736086239046757e-05
1997-07-01,4.382179229636724e-05
1997-08-01,3.920776338778914e-05
1997-09-01,3.028338277813254e-05
1997-10-01,2.295236137718178e-05
1997-11-01,1.654653725654534e-05
1997-12-01,1.546994465730098e-05
1998-01-01,1.9805572794717613e-05
1998-02-01,2.1285787779817654e-05
1998-03-01,3.186877810371434e-05
1998-04-01,3.665176959167021e-05
1998-05-01,3.515578542952675e-05
1998-06-01,3.677775438573152e-05
1998-07-01,4.5516625037693345e-05
1998-08-01,4.126056577710373e-05
1998-09-01,3.4384073231516955e-05
1998-10-01,2.5964785657904068e-05
1998-11-01,1.802718172404924e-05
1998-12-01,1.6987239805058893e-05
1999-01-01,1.9556295010288063e-05
1999-02-01,2.2627615252944514e-05
1999-03-01,3.3520541320774797e-05
1999-04-01,3.58752509378991e-05
1999-05-01,3.444281941783738e-05
1999-06-01,3.664207796757485e-05
1999-07-01,3.9689033453952044e-05
1999-08-01,4.050195395647084e-05
1999-09-01,3.193728575768057e-05
1999-10-01,2.3164501960053923e-05
1999-11-01,1.4815998219543777e-05
1999-12-01,1.6228803313910174e-05
2000-01-01,1.93704877186214e-05
2000-02-01,2.2484252662923942e-05
2000-03-01,3.2948780232279694e-05
2000-04-01,3.189093375283809e-05
2000-05-01,3.19389754172875e-05
2000-06-01,3.570215450723712e-05
2000-07-01,4.1433207005197246e-05
2000-08-01,3.787306926928126e-05
2000-09-01,3.1338022440843614e-05
2000-10-01,2.622988904853129e-05
2000-11-01,1.6551074814637434e-05
2000-12-01,1.6835307688555414e-05
2001-01-01,1.9852153620334893e-05
2001-02-01,2.1753124778274444e-05
2001-03-01,3.390332333351071e-05
2001-04-01,3.784293726497091e-05
2001-05-01,3.7453924486927064e-05
2001-06-01,4.006551596645736e-05
2001-07-01,4.491622787178942e-05
2001-08-01,4.0808184500053215e-05
2001-09-01,3.352806690790407e-05
2001-10-01,2.6020119321608483e-05
2001-11-01,1.8597199495352632e-05
2001-12-01,1.9312072235969204e-05
2002-01-01,2.1306480705442027e-05
2002-02-01,2.258589154737832e-05
2002-03-01,3.5557855126738325e-05
2002-04-01,4.000766693717184e-05
2002-05-01,3.6759546227561376e-05
2002-06-01,3.667911306451326e-05
2002-07-01,4.110544375044345e-05
2002-08-01,3.816479546925997e-05
2002-09-01,3.0558872680750676e-05
2002-10-01,2.4637218685699593e-05
2002-11-01,1.5677885591829855e-05
2002-12-01,1.599114317262665e-05
2003-01-01,1.7497272055041152e-05
2003-02-01,1.984910799808429e-05
2003-03-01,3.254663387345679e-05
2003-04-01,3.88851500971158e-05
2003-05-01,3.502694098552576e-05
2003-06-01,3.767441963335462e-05
2003-07-01,4.097048056797219e-05
2003-08-01,3.551165361811764e-05
2003-09-01,2.893822493170853e-05
2003-10-01,2.3000618170852845e-05
2003-11-01,1.5434162919504752e-05
2003-12-01,1.6469797874982264e-05
2004-01-01,1.9495406788793106e-05
2004-02-01,2.3327842521640415e-05
2004-03-01,3.339963337679154e-05
2004-04-01,3.545445884551937e-05
2004-05-01,3.4969291065790404e-05
2004-06-01,3.591449225956081e-05
2004-07-01,4.1102002569799205e-05
2004-08-01,4.237621854822975e-05
2004-09-01,3.2251261729281965e-05
2004-10-01,2.270032998306017e-05
2004-11-01,1.688964076025259e-05
2004-12-01,1.7082241889279125e-05
2005-01-01,1.968674424843905e-05
2005-02-01,2.0487967619199662e-05
2005-03-01,3.512707202532993e-05
2005-04-01,3.7331971716687955e-05
2005-05-01,3.529599990465801e-05
2005-06-01,3.7996961805555555e-05
2005-07-01,4.3367856667730955e-05
2005-08-01,4.1851307959060586e-05
2005-09-01,3.141608430449127e-05
2005-10-01,2.6698015168245353e-05
2005-11-01,1.764676801741876e-05
2005-12-01,1.641417934936853e-05
2006-01-01,1.9051352359603376e-05
2006-02-01,2.2178684524443022e-05
2006-03-01,3.306151631456648e-05
2006-04-01,3.715486039050305e-05
2006-05-01,3.6623876294877256e-05
2006-06-01,3.6959392738044556e-05
2006-07-01,4.1562661416205476e-05
2006-08-01,3.820190340304385e-05
2006-09-01,3.1440213366503485e-05
2006-10-01,2.432611544584575e-05
2006-11-01,1.6911831109425992e-05
2006-12-01,1.6931788903966226e-05
2007-01-01,1.8732391664892863e-05
2007-02-01,2.090792829617213e-05
2007-03-01,3.153815586419753e-05
2007-04-01,3.5477796347293175e-05
2007-05-01,3.459749987805094e-05
2007-06-01,3.8220021318912296e-05
2007-07-01,4.334496616468e-05
2007-08-01,4.0302928384862355e-05
2007-09-01,3.1756842450688236e-05
2007-10-01,2.5293677772899812e-05
2007-11-01,1.7410915826326804e-05
2007-12-01,1.6526203692617427e-05
2008-01-01,1.9088669103430537e-05
2008-02-01,2.2864552236323964e-05
2008-03-01,3.231959726878459e-05
2008-04-01,3.503410438395771e-05
2008-05-01,3.3823766208138214e-05
2008-06-01,3.6878963898644815e-05
2008-07-01,4.13287407873031e-05
2008-08-01,4.056239650959628e-05
2008-09-01,3.218160736616645e-05
2008-10-01,2.4598224754328085e-05
2008-11-01,1.7887004498811547e-05
2008-12-01,1.735372221778771e-05
2009-01-01,2.024646092752235e-05
2009-02-01,2.148850862955868e-05
2009-03-01,3.394098430626508e-05
2009-04-01,3.663969752199518e-05
2009-05-01,3.4372662070295874e-05
2009-06-01,3.823223196706045e-05
2009-07-01,4.4079689329235846e-05
2009-08-01,4.0834887241468e-05
2009-09-01,3.379104267551795e-05
2009-10-01,2.6752898341049384e-05
2009-11-01,1.8149599341918548e-05
2009-12-01,1.7350235638835675e-05
2010-01-01,1.9312275392010785e-05
2010-02-01,2.0877103565790408e-05
2010-03-01,3.261829912107989e-05
2010-04-01,3.8982229472647936e-05
2010-05-01,3.6359483700954306e-05
2010-06-01,3.6977677834982976e-05
2010-07-01,4.4279397704697036e-05
2010-08-01,4.108500093124733e-05
2010-09-01,3.2713896205832267e-05
2010-10-01,2.4228053936958997e-05
2010-11-01,1.708014392205903e-05
2010-12-01,1.6357845426245208e-05
2011-01-01,1.9250939284890735e-05
2011-02-01,2.2826226973800907e-05
2011-03-01,3.293974497126437e-05
2011-04-01,3.753901621478998e-05
2011-05-01,3.7731989953615015e-05
2011-06-01,3.724054346042642e-05
2011-07-01,4.236650763401093e-05
2011-08-01,3.9478556810522214e-05
2011-09-01,3.2906485250815956e-05
2011-10-01,2.5328160919540228e-05
2011-11-01,1.835839885323542e-05
2011-12-01,1.726486636600681e-05
2012-01-01,1.8714361829501918e-05
2012-02-01,2.2562682701858948e-05
2012-03-01,3.3542133121807155e-05
2012-04-01,3.6472350712182486e-05
2012-05-01,3.454352184440187e-05
2012-06-01,3.665779005028736e-05
2012-07-01,4.295256070845751e-05
2012-08-01,3.9650660021551724e-05
2012-09-01,3.2645972078100614e-05
2012-10-01,2.485421550172059e-05
2012-11-01,1.7292267432063287e-05
2012-12-01,1.6287909249946783e-05
2013-01-01,1.913259182763942e-05
2013-02-01,2.2169610239729673e-05
2013-03-01,3.340781776598198e-05
2013-04-01,3.608185497818221e-05
2013-05-01,3.663897730195473e-05
2013-06-01,3.815195356845111e-05
2013-07-01,4.2221457878795935e-05
2013-08-01,3.941608857270824e-05
2013-09-01,3.0522489512381154e-05
2013-10-01,2.532402656937349e-05
2013-11-01,1.678760171659926e-05
2013-12-01,1.6402769352206613e-05
2014-01-01,1.9079752132999858e-05
2014-02-01,2.1222519445331347e-05
2014-03-01,3.450661091377537e-05
2014-04-01,3.6340256547555695e-05
2014-05-01,3.538309520008514e-05
2014-06-01,3.725795346202285e-05
2014-07-01,4.3019258084113816e-05
2014-08-01,3.986789668919398e-05
2014-09-01,3.2128433143092805e-05
2014-10-01,2.6505069145114945e-05
2014-11-01,1.7786449796899385e-05
2014-12-01,1.6948836994022282e-05
2015-01-01,1.9031037420622253e-05
2015-02-01,2.1863177371576554e-05
2015-03-01,3.318721059271676e-05
2015-04-01,3.728911272083865e-05
2015-05-01,3.701756975486022e-05
2015-06-01,3.864010006474386e-05
2015-07-01,4.4182744208528446e-05
2015-08-01,4.0335119831577264e-05
2015-09-01,3.25979896143749e-05
2015-10-01,2.6483133891194834e-05
2015-11-01,1.8088264842308786e-05
2015-12-01,1.7565958419806303e-05
2016-01-01,1.887704841155811e-05
2016-02-01,2.265810650808855e-05
2016-03-01,3.464284602490422e-05
2016-04-01,3.650945653957359e-05
2016-05-01,3.512283102517028e-05
2016-06-01,3.854043026952959e-05
2016-07-01,4.395863876028806e-05
2016-08-01,3.886017299027955e-05
2016-09-01,3.281991117674187e-05
2016-10-01,2.5645024201344538e-05
2016-11-01,1.7907792212111537e-05
2016-12-01,1.7119005982155526e-05
2017-01-01,2.0140992343816522e-05
2017-02-01,2.2295421034660142e-05
2017-03-01,3.372943778159146e-05
2017-04-01,3.813302458049524e-05
