Date,prcp
1988-04-01,3.9981481481481484e-05
1988-05-01,1.1759259259259259e-05
1988-06-01,6.712577160493826e-05
1988-07-01,3.4395833333333334e-05
1988-08-01,6.751774691358023e-05
1988-09-01,4.488117283950617e-05
1988-10-01,3.282793209876543e-05
1988-11-01,2.0480709876543206e-05
1988-12-01,1.7736882716049382e-05
1989-01-01,1.3719135802469137e-05
1989-02-01,2.4792438271604937e-05
1989-03-01,5.183873456790123e-05
1989-04-01,4.517515432098766e-05
1989-05-01,2.2832561728395062e-05
1989-06-01,7.908101851851852e-05
1989-07-01,9.064429012345679e-05
1989-08-01,2.6066358024691356e-05
1989-09-01,5.262268518518517e-05
1989-10-01,2.596836419753086e-05
1989-11-01,2.920216049382716e-05
1989-12-01,4.4979166666666664e-05
1990-01-01,2.7438271604938268e-05
1990-02-01,2.3616512345679014e-05
1990-03-01,2.8320216049382716e-05
1990-04-01,9.799382716049382e-06
1990-05-01,3.282793209876543e-05
1990-06-01,4.684104938271605e-05
1990-07-01,7.30054012345679e-05
1990-08-01,5.928626543209877e-05
1990-09-01,6.859567901234567e-06
1990-10-01,0.00017207716049382713
1990-11-01,1.4699074074074073e-05
1990-12-01,1.5972993827160492e-05
1991-01-01,7.496527777777777e-05
1991-02-01,1.460108024691358e-05
1991-03-01,8.006095679012345e-05
1991-04-01,3.9687499999999996e-05
1991-05-01,2.773225308641975e-05
1991-06-01,2.1558641975308643e-05
1991-07-01,8.780246913580247e-05
1991-08-01,9.858179012345678e-05
1991-09-01,4.7135030864197525e-05
1991-10-01,5.977623456790123e-06
1991-11-01,1.7442901234567904e-05
1991-12-01,3.3709876543209874e-05
1992-01-01,4.2529320987654316e-05
1992-02-01,5.154475308641975e-05
1992-03-01,3.272993827160494e-05
1992-04-01,2.6458333333333334e-05
1992-05-01,2.665432098765432e-05
1992-06-01,7.114351851851852e-05
1992-07-01,3.0182098765432095e-05
1992-08-01,5.6150462962962965e-05
1992-09-01,7.30054012345679e-05
1992-10-01,2.773225308641975e-05
1992-11-01,7.574922839506172e-05
1992-12-01,3.704166666666667e-05
1993-01-01,8.672453703703702e-05
1993-02-01,3.586574074074074e-05
1993-03-01,8.064891975308641e-05
1993-04-01,1.5581018518518515e-05
1993-05-01,1.1269290123456788e-05
